"Latest: Time (s)";"Latest: Pressure (kPa)"
0;101,166825531
1;101,166825531
2;101,166825531
3;101,119483613
4;101,166825531
5;101,364083524
6;108,508767998
7;108,098471374
8;107,845981144
9;107,719736029
10;107,656613472
11;107,656613472
12;107,656613472
13;107,719736029
14;107,830200505
15;107,845981144
16;107,984061739
17;108,161593932
18;108,224716489
19;108,287839047
20;108,418029321
21;108,477206719
22;108,603451834
23;108,71391631
24;108,729696949
25;108,848051744
26;108,919064621
27;108,986132339
28;109,013748458
29;109,112377454
30;109,234677409
31;109,293854806
32;109,356977364
33;109,431935401
34;109,546345036
35;109,609467594
36;109,585796635
37;109,70020627
38;109,755438508
39;109,826451385
40;109,861957824
41;109,988202939
42;110,007928738
43;110,051325496
44;110,114448054
45;110,126283533
46;110,252528648
47;110,295925406
48;110,366938284
49;110,366938284
50;110,430060841
51;110,434006001
52;110,540525317
53;110,619428513
54;110,682551071
55;110,682551071
56;110,71411235
57;110,808796186
58;110,903480022
59;110,974492899
60;110,982383219
61;111,061286416
62;111,061286416
63;111,124408973
64;111,124408973
65;111,250654088
66;111,250654088
67;111,250654088
68;111,333502445
69;111,376899203
70;111,376899203
71;111,404515322
72;111,491308839
73;111,511034638
74;111,562321716
75;111,562321716
76;111,562321716
77;111,625444273
78;111,625444273
79;111,672786191
80;111,751689388
81;111,751689388
82;111,814811946
83;111,877934503
84;111,897660302
85;111,889769983
86;111,941057061
87;112,004179618
88;112,031795737
89;112,067302176
90;112,130424733
91;112,130424733
92;112,134369893
93;112,193547291
94;112,193547291
95;112,256669848
96;112,256669848
97;112,256669848
98;112,323737565
99;112,375024643
100;112,382914963
101;112,44603752
102;112,44603752
103;112,501269758
104;112,44603752
105;112,509160078
106;112,509160078
107;112,509160078
108;112,572282635
109;112,584118115
110;112,635405193
111;112,635405193
112;112,69852775
113;112,69852775
114;112,69852775
115;112,816882546
116;112,824772865
117;112,824772865
118;112,824772865
119;112,824772865
120;112,828718025
121;112,887895423
122;112,887895423
123;112,95101798
124;113,014140538
125;113,014140538
126;113,014140538
127;113,018085698
128;113,077263095
129;113,069372775
130;113,077263095
131;113,096988894
132;113,116714694
133;113,140385653
134;113,20350821
135;113,144330813
136;113,20350821
137;113,231124329
138;113,266630768
139;113,266630768
140;113,266630768
141;113,294246887
142;113,266630768
143;113,266630768
144;113,329753325
145;113,392875883
146;113,392875883
147;113,392875883
148;113,412601682
149;113,392875883
150;113,420492001
151;113,432327481
152;113,483614559
153;113,519120998
154;113,546737116
155;113,582243555
156;113,582243555
157;113,582243555
158;113,582243555
159;113,582243555
160;113,582243555
161;113,601969354
162;113,582243555
163;113,672982231
164;113,645366112
165;113,665091912
166;113,70848867
167;113,70848867
168;113,70848867
169;113,71243383
170;113,763720908
171;113,771611227
172;113,70848867
173;113,815007986
174;113,830788625
175;113,771611227
176;113,791337027
177;113,783446707
178;113,842624105
179;113,886020863
180;113,886020863
181;113,893911183
182;113,893911183
183;113,893911183
184;113,905746662
185;113,941253101
186;113,94914342
187;113,893911183
188;113,905746662
189;113,95703374
190;114,012265978
191;114,020156297
192;114,020156297
193;114,020156297
194;114,020156297
195;114,020156297
196;114,020156297
197;114,020156297
198;114,059607896
199;114,067498216
200;114,083278855
201;114,083278855
202;114,083278855
203;114,122730453
204;114,146401412
205;114,114840134
206;114,146401412
207;114,146401412
208;114,146401412
209;114,146401412
210;114,146401412
211;114,146401412
212;114,146401412
213;114,146401412
214;114,146401412
215;114,20952397
216;114,20952397
217;114,248975568
218;114,272646527
219;114,272646527
220;114,272646527
221;114,237140089
222;114,272646527
223;114,304207806
224;114,284482007
225;114,284482007
226;114,319988445
227;114,300262646
228;114,276591687
229;114,335769085
230;114,292372327
231;114,327878765
232;114,335769085
233;114,383111003
234;114,383111003
235;114,367330364
236;114,398891642
237;114,398891642
238;114,398891642
239;114,398891642
240;114,398891642
241;114,398891642
242;114,398891642
243;114,398891642
244;114,398891642
245;114,398891642
246;114,398891642
247;114,398891642
248;114,398891642
249;114,398891642
250;114,398891642
251;114,398891642
252;114,398891642
253;114,398891642
254;114,44623356
255;114,44623356
256;114,4620142
257;114,45412388
258;114,410727122
259;114,4620142
260;114,4620142
261;114,4620142
262;114,45412388
263;114,4620142
264;114,4620142
265;114,4620142
266;114,4620142
267;114,4620142
268;114,4620142
269;114,4620142
270;114,4620142
271;114,46595936
272;114,489630319
273;114,517246438
274;114,525136757
275;114,525136757
276;114,564588356
277;114,481739999
278;114,544862557
279;114,580368995
280;114,564588356
281;114,4620142
282;114,556698036
283;114,564588356
284;114,572478675
285;114,481739999
286;114,552752876
287;114,580368995
288;114,556698036
289;114,588259315
290;114,529081917
291;114,556698036
292;114,556698036
293;114,564588356
294;114,552752876
295;114,572478675
296;114,572478675
297;114,580368995
298;114,564588356
299;114,588259315
300;114,600094794
301;114,572478675
302;114,592204475
303;114,619820594
304;114,600094794
305;114,643491553
